Date,positions
2013-10-30,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.75}]"
2013-10-31,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.67}]"
2013-11-01,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.57}]"
2013-11-04,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.81}]"
2013-11-05,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.77}]"
2013-11-06,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.6}]"
2013-11-07,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.3}]"
2013-11-08,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.59}]"
2013-11-11,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.54}]"
2013-11-12,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.57}]"
2013-11-13,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.59}]"
2013-11-14,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.86}]"
2013-11-15,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.75}]"
2013-11-18,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.52}]"
2013-11-19,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.56}]"
2013-11-20,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.39}]"
2013-11-21,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.61}]"
2013-11-22,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.56}]"
2013-11-25,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.7}]"
2013-11-26,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 19.05}]"
2013-11-27,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 19.5}]"
2013-11-29,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 19.86}]"
2013-12-02,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 19.69}]"
2013-12-03,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 20.23}]"
